Positive	Negative	Text
1	-1	Carpe Per Diem LLC stock falls as ASMR Pyramid prices slide
1	-1	Producer price index has fallen in China, it is the biggest reason for the falling stock prices ?
1	-1	Kinder Morgan (KMI) Stock Down as Oil Prices Slide Finance Forex S&P 500 Index Stocks KMI.US
2	-1	ESE Direct: Stock Clearance - Industrial products at rock bottom prices (Code: N/A) deals uk
1	-1	Halliburton (HAL) Stock Falls Along with Oil Prices via @thestreet
1	-1	What Stock Prices Are Saying About the Australian Economy
1	-1	Southwestern Energy (SWN) Stock Down as Oil Prices Fall Related Articles:
1	-2	WPX Energy (WPX) Stock Retreating Along With Oil Prices Related Articles:
1	-1	Goldcorp (GG) Stock Gains on Rebounding Gold Prices
1	-1	AMD - AMD stock prices are up after rumors that the company is currently negotiating with Microsoft for a buyout.
1	-1	Murphy Oil (MUR) Stock Down with Oil Price as Gas Prices Tumble: 26.67on Monday, as oil prices were lower
2	-1	While laying off 30,000 people and driving @HP stock prices off a cliff. Totally qualified to be President. LOL
1	-2	Group Proposes Changes to MMJ Law in NYC, Offering Weed for 1 Gram - half-assed natur pic.twitter.com/KMbliUae54
1	-3	Radical Rant: Prohibitionist's Headline Lies About Data on Teen Pot Use - latest data pic.twitter.com/ASR6yHWixk
1	-2	Exxon Mobil (XOM) Stock Falls Along With Crude Prices Related Articles:
1	-1	2015 HIGH TIMES E-Nail Review - editorial staff at HIGH TIMES gathered some of the top pic.twitter.com/ISeyVUKcGq
1	-1	Here are some of the items I have in stock right now. Along with prices Saba ACE G2 bottle -60 Saba ACE G2
1	-2	Diamond prices hit by stock market slump, China (via @CNBC)
1	-1	Seeking Alpha AMD Stock Prices Soar As Rumours Of Microsoft Buyout Return Game Debate
1	-1	Stockman: Stock market index prices dramatically overpriced
2	-4	Ruggero Respigo : ELI5: Why does fear of the fed raising interest rates lower stock prices? via /r/explainlikeimfi
1	-2	Murphy Oil (MUR) Stock Down with Oil Price as Gas Prices Tumble: Gasoline prices traded at their lowest intrad
2	-1	Some key measures of stock values are flashing signs that stock prices may have gotten ahead of themselves. Depends
1	-1	Myths busted on the fed and stock prices. Always full of common sense from @AswathDamodaran
1	-2	Retweeted EIN Oil & Gas News (@EINOilGasNews): Murphy Oil (MUR) Stock Down with Oil Price as Gas Prices Tumble
1	-4	Cdn pleads guilty to manipulating stock prices
1	-1	Kinder Morgan (KMI) Stock Down as Oil Prices Slide Related Articles: pic.twitter.com/Ypc121V5y2
1	-1	Selling Gym king clothing. Got loads in stock at discounted prices. DM me
1	-2	The Two-Wheeled Terror Trailer: The Program - Lance Armstrong biopic is spinning into pic.twitter.com/QqJNM2aNTx
1	-2	Californias Fires Are Barely Containedand Barely Started - Valley Fire burned 61,000 pic.twitter.com/PDh0w7yLCM
1	-1	There's a restaurant in New York where menu prices rise and fall based on demand just like the Stock Exchange!
2	-1	How to read market tea leaves: Some key measures of stock values are flashing signs that stock prices stocks
1	-1	AMD Stock Prices Soar As Rumours Of Microsoft Buyout Return Game Debate Rumours about AMD
1	-1	Southwestern Energy (SWN) Stock Down as Oil Prices Fall Related Articles:
2	-4	Cdn pleads guilty to manipulating stock prices: U.S. authorities have secured a guilty plea in a first-of-its-kind
2	-4	Cdn pleads guilty to manipulating stock prices: U.S. authorities have secured a guilty plea in a first-of-its-kind
1	-4	Cdn pleads guilty to manipulating stock prices pic.twitter.com/KkFZRtb3yp
1	-1	Murphy Oil MUR Stock Down with Oil Price as Gas Prices Tumble
1	-1	We stock sizes XS to 6XL, Size 24. Prices start at 45. You can order yours by clicking here: pic.twitter.com/qIDipyamf1
1	-4	Canadian man pleads guilty in U.S. to manipulating stock prices.
1	-1	Valero Energy (VLO) Stock Declining as Oil Prices Sink
1	-1	Halliburton (HAL) Stock Falls Along with Oil Prices
1	-1	Who is ready to crash the stock exchange with us tomorrow @ctznbar drinks prices dropping all night
1	-2	Marijuana WEED CANADA STOCKS-TSX ends lower as commodity prices, Fed decision w MLCG
1	-1	ACHC Acadia Healthcare Prices 275 Million Add-on Offering of Senior Unsecured Notes From our Stock News Alerts App
1	-2	Noble Energy (NBL) Stock Down with Oil Prices on Demand Concerns Related Articles:
1	-1	Dhaka stock exchange DSEBD prices on your Android and iPhone
1	-1	What Stock Prices Are Saying About the Australian Economy: This post What Stock Prices Are Saying About the Au
3	-1	Now is the time to buy a boat! New, In-stock, great prices, act now!
1	-1	TSX lower as oil, metals prices sink; traders cautions in advance of Fed meeting
1	-1	Last I checked, most of us get paid to try and predict stock prices, not the real economy.
1	-2	Samantha Bee Just Ethered Vanity Fairs All-Male Late-Night Comedy Feature - former 'D pic.twitter.com/gRG5FPPDK3
1	-1	Stockman: Stock market index prices 'dramatically overpriced': Stockman: Stock market index prices 'dramatical
2	-2	Chevron Corporation (CVX): Merrill Lynch Upgrades Stock Despite Falling Crude Prices
1	-1	ConocoPhillips (COP) Stock Down as Oil Prices Fall
1	-2	Anyone who INCREASES corporate taxes by 3 points will spark an immediate 4 drop in stock prices. InvestorsBeware
2	-4	Toronto Sun Cdn pleads guilty to manipulating stock prices Toronto Sun U.S. authorities have secured a guilty plea
1	-1	CTV News North American markets trading lower as oil, metals prices sink CTV News TORONTO -- North American stock
1	-1	Stockman: Stock market index prices 'dramatically overpriced': Former Reagan budget director David Stockman di
3	-1	So excited to have the prettiest mugs & things now in stock by jars.of.dust ! Prices range 18-23 @
1	-1	VIDEO - @DAStockman: Stock Market Index Prices Dramatically Overpriced
1	-1	Apple Allowing Developers Who Won Apple TV Lottery to Place Orders - new Apple TV won' pic.twitter.com/njlc4VX8kZ
1	-1	Robert Shiller: 3x prices in 6 years = Biggest stock-market bubble since 2000. Rate hike won't pop it though.
1	-1	Halliburton (HAL) Stock Falls Along with Oil Prices: NEW YORK (TheStreet) -- Halliburton stock is falling
3	-1	Need poms? Shop for a huge selection of stock poms. Great prices. Quick ship.
1	-2	WPX Energy (WPX) Stock Retreating Along With Oil Prices Related Articles: pic.twitter.com/tv7nUAqh1f
1	-1	Varoufakis 'When @bankofengland buys paper assets thru QE, house prices & stock markets are boosted & corporations get to buyback shares'
1	-1	Corey Marshall was dominant. Wyatt Teller single-handedly drove IHOP's stock prices up.
2	-1	there's a comic shop in Santa Barbara that always has old issues for good prices and i need to stock up but i don't wanna go alone
1	-2	Noble Corp. (NE) Stock Declines on Falling Oil Prices
1	-1	CTV News North American markets trading lower as oil, metals prices sink CTV News TORONTO -- North American stock
1	-2	Noble Energy (NBL) Stock Down with Oil Prices on Demand Concerns
1	-1	ConocoPhillips (COP) Stock Down as Oil Prices Fall
1	-2	BP Stock Declines Along With Crude Prices oilgas energy
1	-1	Kinross Gold (KGC) Stock Gains Amid Higher Gold Prices - Kinross Go Gold MasterMetals
1	-1	Robert Shiller's research says a stock market bubble is looming, with stocks prices tripling in 6 years:
1	-1	Valero Energy VLO Stock Declining as Oil Prices Sink
1	-1	Kinder Morgan (KMI) Stock Down as Oil Prices Slide: Cli
1	-1	Stockman: Stock market index prices 'dramatically overpriced': Former Reagan budget director David Stockman di
1	-1	americacredit : Stockman: Stock market index prices 'dramatically pic.twitter.com/gEcvyQ6dZW
