Vader_decimal	Vader_rounded
04	0
0.4588	0
-0.2732	0
0.6908	1
0.3094	0
0.1779	0
0.25	0
-0.1027	0
0.7345	1
0.5859	1
-0.1027	0
0.1516	0
0.5904	1
0.4588	0
0.5848	1
0.3818	0
0.4588	0
-0.25	0
0.4588	0
0.6486	1
0.4588	0
0.2023	0
0.1779	0
0.6808	1
0.4678	0
-0.7783	-1
0.2263	0
0.3786	0
0.0	0
0.4019	0
0.802	1
-0.4019	0
0.128	0
-0.2057	0
0.1516	0
0.25	0
-0.6428	-1
0.2023	0
0.1531	0
0.25	0
0.6486	1
0.5994	1
0.1516	0
-0.4939	0
0.7897	1
0.25	0
0.0531	0
0.2263	0
0.3164	0
0.2023	0
0.6124	1
0.3182	0
0.5719	1
0.4588	0
0.0772	0
0.2023	0
0.5859	1
0.2003	0
0.2023	0
0.5983	1
0.4404	0
0.6486	1
0.5423	1
-0.652	-1
0.743	1
0.25	0
0.658	1
0.8481	1
0.4588	0
0.2714	0
0.9371	1
0.4588	0
0.2023	0
0.4588	0
0.4588	0
0.7717	1
0.25	0
0.7184	1
0.7184	1
0.8658	1
0.2003	0
0.5423	1
0.1516	0
0.0	0
0.25	0
0.7783	1
-0.357	0
0.4588	0
0.4588	0
0.4588	0
0.4885	0
0.2003	0
0.4588	0
0.6597	1
0.2263	0
0.4588	0
0.8074	1
0.5093	1
0.2263	0
-0.8497	-1
0.2942	0
0.25	0
0.3182	0
0.4588	0
0.3612	0
0.4939	0
0.5267	1
0.4215	0
0.296	0
0.2023	0
0.4588	0
0.25	0
0.25	0
0.3164	0
0.6597	1
0.5994	1
0.1516	0
0.6908	1
0.6124	1
0.4588	0
-0.4215	0
0.6908	1
-0.1027	0
0.7351	1
0.4588	0
0.323	0
0.25	0
0.2263	0
0.2023	0
-0.0516	0
0.807	1
0.4588	0
0.25	0
0.0772	0
0.6808	1
0.4588	0
-0.357	0
0.6908	1
0.8439	1
0.659	1
0.4588	0
0.7506	1
0.2263	0
0.6533	1
0.8316	1
0.25	0
0.25	0
0.4588	0
-0.2523	0
0.2023	0
0.4588	0
-0.25	0
-0.0516	0
0.3612	0
0.5994	1
0.5994	1
0.5423	1
0.2263	0
0.2263	0
0.4588	0
0.5267	1
0.3164	0
0.4588	0
0.5994	1
0.8687	1
0.5204	1
0.1779	0
0.1516	0
0.2023	0
0.2023	0
0.4767	0
0.2263	0
0.4588	0
0.659	1
0.4588	0
0.4588	0
0.4767	0
0.0258	0
0.4588	0
0.7579	1
0.7964	1
0.8074	1
0.2023	0
-0.5267	-1
0.2263	0
0.5093	1
-0.0772	0
-0.1531	0
0.6124	1
0.8658	1
-0.1764	0
-0.0865	0
0.2263	0
0.4767	0
0.1516	0
0.6486	1
0.4588	0
0.7003	1
0.4588	0
0.4404	0
0.2263	0
0.4588	0
0.25	0
0.4588	0
0.8402	1
0.2263	0
0.0258	0
0.25	0
0.7435	1
0.2023	0
0.5204	1
0.9042	1
0.4588	0
0.6341	1
0.6486	1
0.25	0
0.5093	1
-0.2732	0
0.2023	0
0.5707	1
-0.5267	-1
0.5859	1
0.1516	0
0.4588	0
-0.3182	0
0.5994	1
0.2023	0
0.2263	0
0.3164	0
0.4588	0
-0.5393	-1
0.1516	0
0.2263	0
0.4588	0
0.7096	1
0.6114	1
0.8	1
0.4588	0
-0.6808	-1
0.6249	1
-0.1531	0
0.8387	1
0.802	1
0.6688	1
0.4939	0
0.4588	0
0.25	0
0.4588	0
0.1027	0
0.8513	1
0.2263	0
0.4588	0
0.8658	1
0.2263	0
-0.1779	0
0.2023	0
0.4939	0
0.4588	0
-0.8553	-1
0.3612	0
0.7412	1
0.1516	0
0.2263	0
-0.2023	0
0.25	0
0.4588	0
0.25	0
0.3818	0
0.25	0
0.4588	0
0.3353	0
-0.1779	0
0.8817	1
0.5106	1
-0.2797	0
0.4588	0
0.4588	0
0.8225	1
0.4588	0
0.4588	0
-0.5634	-1
0.8225	1
0.6705	1
0.6688	1
0.6049	1
0.34	0
0.25	0
0.1516	0
0.4588	0
-0.34	0
0.4588	0
0.6908	1
0.5093	1
0.5859	1
-0.296	0
-0.2037	0
0.4588	0
0.2263	0
0.8807	1
0.6369	1
0.4588	0
0.25	0
0.0772	0
0.4588	0
0.2263	0
0.0	0
0.4588	0
-0.3826	0
0.8062	1
0.4588	0
0.1516	0
0.7096	1
0.2023	0
-0.1027	0
0.2023	0
