Symbol	Name	Last Trade	Change	Volume
AAL.L	Anglo American plc	740.70 5:16AM EDT	Down 14.50 (1.92%)	816,278
ABF.L	Associated British Foods plc	3,283.00 5:16AM EDT	Up 6.00(0.18%)	71,972
ADM.L	Admiral Group plc	1,467.00 5:13AM EDT	Down 4.00 (0.27%)	54,011
ADN.L	Aberdeen Asset Management PLC	337.70 5:16AM EDT	Down 1.90 (0.56%)	457,787
AHT.L	Ashtead Group plc	945.50 5:15AM EDT	Down 6.50 (0.68%)	367,579
ANTO.L	Antofagasta plc	560.73 5:15AM EDT	Down 12.77 (2.23%)	461,823
ARM.L	ARM Holdings plc	925.50 5:15AM EDT	Up 6.00(0.65%)	812,908
AV.L	Aviva plc	511.00 5:16AM EDT	Up 1.00(0.20%)	1,497,048
AZN.L	AstraZeneca PLC	4,267.50 5:16AM EDT	Down 10.50 (0.25%)	283,772
BA.L	BAE Systems plc	468.35 5:16AM EDT	Down 0.45 (0.10%)	684,585
BAB.L	Babcock International Group plc	999.50 5:15AM EDT	Down 5.50 (0.55%)	95,361
BARC.L	Barclays PLC	273.95 5:16AM EDT	0.00(0.00%)	5,497,088
BATS.L	British American Tobacco p.l.c.	3,692.50 5:16AM EDT	Down 34.00 (0.91%)	519,951
BDEV.L	Barratt Developments plc	645.50 5:15AM EDT	Down 7.50 (1.15%)	1,303,793
BLND.L	The British Land Company PLC	873.50 5:15AM EDT	Down 3.50 (0.40%)	244,391
BLT.L	BHP Billiton plc	1,108.00 5:16AM EDT	Down 25.50 (2.25%)	1,284,820
BNZL.L	Bunzl plc	1,854.00 5:16AM EDT	Down 1.00 (0.05%)	91,903
BP.L	BP p.l.c.	374.65 5:16AM EDT	Down 3.50 (0.93%)	3,680,195
BRBY.L	Burberry Group plc	1,485.00 5:15AM EDT	Down 7.00 (0.47%)	166,390
BT-A.L	BT Group plc	455.70 5:16AM EDT	Up 0.25(0.05%)	1,668,831
CCH.L	COCA-COLA HBC N	1,417.00 5:13AM EDT	Up 8.00(0.57%)	149,892
CCL.L	Carnival plc	3,494.00 5:15AM EDT	Down 15.00 (0.43%)	29,680
CNA.L	Centrica plc	268.60 5:16AM EDT	Down 0.30 (0.11%)	749,349
CPG.L	Compass Group PLC	1,036.66 5:15AM EDT	Up 0.66(0.06%)	512,065
CPI.L	Capita plc	1,294.00 5:12AM EDT	Down 6.00 (0.46%)	112,278
CRH.L	CRH plc	1,970.00 5:12AM EDT	Up 1.00(0.05%)	281,855
DC.L	DIXONS CARPHONE	442.10 5:16AM EDT	Down 5.70 (1.27%)	358,338
DGE.L	Diageo plc	1,769.50 5:15AM EDT	Down 2.50 (0.14%)	888,976
DLG.L	Direct Line Insurance Group PLC	369.90 5:15AM EDT	Down 0.10 (0.03%)	772,606
EXPN.L	Experian plc	1,157.00 5:16AM EDT	Down 5.00 (0.43%)	226,429
EZJ.L	easyJet plc	1,730.00 5:16AM EDT	Up 5.00(0.29%)	98,469
FRES.L	Fresnillo PLC	666.50 5:16AM EDT	Down 4.50 (0.67%)	120,489
GFS.L	G4S plc	257.60 5:16AM EDT	Up 0.40(0.16%)	687,992
GKN.L	GKN plc	299.20 5:16AM EDT	Down 0.70 (0.23%)	432,356
GLEN.L	Glencore Plc	170.55 5:16AM EDT	Up 0.55(0.32%)	11,550,618
HIK.L	Hikma Pharmaceuticals PLC	2,412.00 5:12AM EDT	Down 6.00 (0.25%)	65,870
HL.L	Hargreaves Lansdown plc	1,177.00 5:14AM EDT	Up 2.00(0.17%)	46,337
HMSO.L	Hammerson plc	683.50 5:15AM EDT	Up 0.50(0.07%)	236,148
HSBA.L	HSBC Holdings plc	556.40 5:16AM EDT	Down 1.20 (0.22%)	3,384,298
IAG.L	International Consolidated Airlines Group, S.A.	546.00 5:15AM EDT	Up 3.00(0.55%)	957,470
IHG.L	Intercontinental Hotels Group plc	2,498.00 5:15AM EDT	Down 10.00 (0.40%)	74,095
III.L	3i Ord	527.00 5:14AM EDT	Down 0.50 (0.09%)	75,499
IMT.L	Imperial Tobacco Group PLC	3,257.00 5:16AM EDT	Down 17.00 (0.52%)	421,396
INTU.L	intu properties plc	340.80 5:16AM EDT	0.00(0.00%)	176,894
ISAT.L	Inmarsat Plc	1,000.00 5:16AM EDT	Up 7.00(0.70%)	122,645
ITRK.L	Intertek Group plc	2,662.00 5:13AM EDT	0.00(0.00%)	26,403
ITV.L	ITV plc	259.40 5:16AM EDT	Down 0.10(0.04%)	1,383,835
JMAT.L	Johnson Matthey Plc	2,787.00 5:17AM EDT	Down 21.00 (0.75%)	32,136
KGF.L	Kingfisher plc	369.90 5:17AM EDT	Down 0.10 (0.03%)	570,282
LAND.L	Land Securities Group plc	1,323.00 5:16AM EDT	Up 1.00 (0.08%)	211,626
LGEN.L	Legal & General Group Plc	265.30 5:17AM EDT	Down 1.30 (0.49%)	2,509,129
